Pacote,Concrete Type,Call Method Name,Field Name,Metodo,Line Code,Class,Ocorrencias,Into Loop,Loops Info,Inside Recursive Method
java/util/List,Ljava/util/List,addMessage,msgArguments,add(value),87,Lorg/apache/commons/math3/exception/util/ExceptionContext>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; 5) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,add(value),453,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; 5) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,add(value),474,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; 5) 8;ON;null; 6) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,size,480,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,size,481,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,randomGet,482,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; 5) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,size,484,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; 5) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,randomGet,485,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; 5) 8;ON;null; 6) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,combined,add(value),497,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; 5) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,combined,size,501,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,combined,toArray,501,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,2,true,1) 2;ON;null; 2) 6;ON;null; 3) 6;ON;null; 4) 8;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,row,add(value),365,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,row,add(value),366,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,row,size,370,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,row,size,371,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,row,randomGet,372,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,row,size,374,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,row,randomGet,375,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; 6) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,combined,add(value),383,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,combined,size,387,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileMultiplicationIndirection,combined,toArray,387,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; ,false
java/util/List,Ljava/util/List,addMessage,msgPatterns,add(value),86,Lorg/apache/commons/math3/exception/util/ExceptionContext>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,flatten,list,add(value),46,Lorg/apache/commons/math3/exception/util/ArgUtils>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; 6) 17;ON;null; 7) 17;ON;null; ,true
java/util/List,Ljava/util/ArrayList,flatten,list,add(value),49,Lorg/apache/commons/math3/exception/util/ArgUtils>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; 6) 17;ON;null; ,true
java/util/List,Ljava/util/ArrayList,flatten,list,toArray,53,Lorg/apache/commons/math3/exception/util/ArgUtils>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,true
java/util/List,Ljava/util/List,addMessage,msgArguments,add(value),87,Lorg/apache/commons/math3/exception/util/ExceptionContext>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,add(value),453,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,add(value),474,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; 6) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,size,480,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,size,481,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; ,false
java/util/List,Ljava/util/ArrayList,compileCompositionIndirection,row,randomGet,482,Lorg/apache/commons/math3/analysis/differentiation/DSCompiler>,1,true,1) 4;ON;null; 2) 8;ON;null; 3) 8;ON;null; 4) 10;ON;null; 5) 10;ON;null; ,false
